chapter-counter,arabic-chapter-weight
1,4
2,8
3,5
4,4
5,6
6,5
7,6
8,9
9,3
10,6
11,7
12,6
13,7
14,3
15,3
16,7
17,6
18,1
19,3
20,5
21,5
22,4
23,8
24,6
25,2
26,9
27,7
28,8
29,4
30,1
31,2
32,8
33,6
34,2
35,3
36,1
37,1
38,1
39,7
40,1
41,3
42,6
43,5
44,3
45,8
46,8
47,2
48,8
49,1
50,9
51,5
52,4
53,1
54,1
55,6
56,4
57,6
58,6
59,8
60,9
61,7
62,3
63,4
64,1
65,5
66,2
67,5
68,7
69,9
70,4
71,9
72,1
73,1
74,6
75,3
76,2
77,2
78,8
79,6
80,8
81,8
82,3
83,1
84,2
85,2
86,5
87,1
88,3
89,7
90,4
91,3
92,8
93,2
94,1
95,2
96,7
97,8
98,5
99,1
100,1
101,9
102,3
103,4
104,2
105,3
106,3
107,7
108,2
109,3
110,1
111,7
112,4
113,8
114,6
