chapter-counter,verse-counter,word-counter,arabic-word-weight
1,0,6,3
1,0,14,6
1,0,28,2
1,1,9,5
1,1,17,7
1,1,23,2
1,2,13,5
1,3,7,7
1,3,14,9
1,4,8,1
1,4,17,1
1,4,28,3
1,5,8,2
1,5,19,9
1,6,7,9
1,6,17,8
1,6,28,2
1,6,39,4
1,6,46,8
1,6,59,6
1,6,70,8
1,6,76,9
2,7,6,7
2,7,14,1
2,7,28,6
2,8,0,7
2,9,7,9
2,9,18,4
2,9,22,8
2,9,29,4
2,9,37,9
2,9,45,1
2,9,61,4
2,10,9,3
2,10,21,6
2,10,33,7
2,10,46,4
2,10,57,7
2,10,66,4
2,10,80,2
2,10,91,1
2,11,11,6
2,11,23,9
2,11,29,7
2,11,37,5
2,11,46,3
2,11,52,5
2,11,60,3
2,11,64,3
2,11,73,2
2,11,88,8
2,11,93,8
2,11,104,5
2,12,11,9
2,12,18,2
2,12,24,3
2,12,29,3
2,12,40,7
2,12,56,8
2,12,61,8
2,12,76,1
2,13,5,7
2,13,15,6
2,13,24,7
2,13,32,3
2,13,43,5
2,13,59,7
2,13,64,3
2,13,69,1
2,13,81,1
2,13,85,5
2,13,97,8
2,14,6,4
2,14,14,7
2,14,21,9
2,14,33,3
2,14,42,2
2,14,53,1
2,14,64,9
2,14,78,6
2,14,88,3
2,14,99,3
2,14,107,2
2,14,115,5
2,15,6,2
2,15,15,9
2,15,19,9
2,15,27,2
2,15,35,3
2,15,45,8
2,15,59,4
2,15,68,7
2,15,74,9
2,15,78,9
2,15,92,3
2,16,12,6
2,16,20,9
2,16,32,5
2,16,40,3
2,16,46,5
2,16,58,7
2,16,65,3
2,16,77,5
2,16,83,7
2,16,95,4
2,17,3,4
2,17,14,7
2,17,22,3
2,17,34,5
2,17,42,8
2,17,50,5
2,17,61,5
2,17,69,4
2,17,77,4
2,17,83,2
2,17,91,8
2,17,103,4
2,18,7,1
2,18,13,6
2,18,20,9
2,18,24,4
2,18,35,6
2,18,39,6
2,18,49,3
2,18,57,6
2,18,66,8
2,18,73,8
2,18,85,7
2,19,5,3
2,19,15,9
2,19,20,9
2,19,35,1
2,19,45,8
2,19,50,3
2,19,62,9
2,20,7,6
2,20,13,2
2,20,20,5
2,20,28,3
2,20,34,1
2,20,40,1
2,20,49,8
2,20,57,2
2,20,68,8
2,20,74,6
2,20,80,6
2,20,93,4
2,20,101,9
2,20,111,6
2,20,116,6
2,20,129,4
2,20,139,2
2,20,144,6
2,20,156,5
2,21,7,2
2,21,14,4
2,21,24,3
2,21,32,1
2,21,40,4
2,21,48,5
2,21,56,2
2,21,64,9
2,21,71,5
2,21,86,7
2,21,94,1
2,21,101,8
2,21,110,7
2,21,119,9
2,21,126,9
2,21,142,2
2,22,7,5
2,22,20,2
2,22,27,4
2,22,41,1
2,22,45,1
2,22,59,9
2,22,71,1
2,23,11,5
2,23,21,4
2,23,32,3
2,23,45,8
2,23,57,6
2,23,63,1
2,23,71,8
2,23,86,4
2,23,92,6
2,23,100,3
2,23,112,8
2,24,10,2
2,24,19,7
2,24,27,1
2,24,39,5
2,24,46,5
2,24,55,3
2,24,65,9
2,24,69,5
2,24,78,9
2,24,85,5
2,24,93,8
2,24,105,5
2,24,118,1
2,24,122,1
2,24,132,4
2,24,137,8
2,24,149,6
2,25,5,1
2,25,12,9
2,25,19,3
2,25,26,2
2,25,30,6
2,25,42,3
2,26,4,1
2,26,14,6
2,26,20,6
2,26,31,4
2,26,37,9
2,26,47,3
2,26,56,4
2,26,65,6
2,26,77,4
2,26,91,6
2,26,95,6
2,26,105,1
2,26,111,1
2,26,124,2
2,26,131,1
2,26,141,1
2,26,153,1
2,26,161,5
2,26,177,3
2,27,7,2
2,27,17,2
2,27,26,8
2,27,40,5
2,27,51,6
2,27,59,8
2,27,65,2
2,27,74,7
2,27,80,3
2,27,88,9
2,27,97,8
2,27,108,1
2,27,116,5
2,27,125,2
2,27,131,7
2,27,139,1
2,27,148,9
2,27,161,1
2,27,177,4
2,27,185,1
2,27,193,4
2,27,200,6
2,27,206,2
2,27,213,7
2,27,221,6
2,28,3,8
2,28,12,7
2,28,21,5
2,28,31,8
2,28,41,9
2,28,49,3
2,28,60,1
2,28,72,6
2,28,76,6
2,28,87,9
2,28,99,1
2,28,110,3
2,29,7,6
2,29,14,1
2,29,21,1
2,29,31,7
2,29,40,4
2,29,53,8
2,29,61,8
2,29,71,3
2,29,76,3
2,29,87,1
2,29,93,7
2,29,104,9
2,29,109,7
2,29,114,7
2,29,127,9
2,29,135,2
2,29,143,2
2,29,151,5
2,29,162,2
2,29,170,4
2,29,180,2
2,29,190,4
2,29,202,6
2,30,5,9
2,30,13,6
2,30,17,6
2,30,24,2
2,30,32,2
2,30,43,5
2,30,50,7
2,30,60,8
2,30,69,1
2,30,79,3
2,30,84,3
2,30,94,2
2,30,104,9
2,30,117,2
2,30,122,2
2,30,128,8
2,30,136,2
2,30,140,8
2,30,148,5
2,30,159,8
2,31,5,4
2,31,11,2
2,31,22,4
2,31,28,9
2,31,39,2
2,31,50,5
2,31,59,8
2,31,67,8
2,31,78,4
2,31,87,2
2,31,102,3
2,31,114,1
2,31,129,8
2,32,9,3
2,32,19,2
2,32,27,9
2,32,38,9
2,32,52,3
2,32,58,9
2,32,65,3
2,32,74,7
2,32,82,8
2,32,86,8
2,32,96,3
2,32,109,3
2,32,120,4
2,32,129,3
2,32,137,9
2,32,141,9
2,32,150,6
2,32,159,8
2,32,169,2
2,32,177,6
2,32,185,9
2,32,195,7
2,32,199,7
2,32,206,4
2,32,217,4
2,32,222,2
2,32,235,4
2,32,246,4
2,32,253,1
2,32,263,1
2,32,276,7
2,32,285,4
2,32,292,1
2,32,303,8
2,33,5,5
2,33,13,8
2,33,17,3
2,33,29,6
2,33,33,3
2,33,42,7
2,33,50,2
2,33,55,7
2,33,65,7
2,33,71,2
2,33,81,5
2,33,92,1
2,33,102,9
2,33,110,7
2,33,124,5
2,33,132,7
2,33,141,2
2,33,145,2
2,33,156,6
2,33,167,9
2,33,177,8
2,33,186,9
2,33,199,3
2,33,206,7
2,33,214,6
2,33,222,9
2,33,232,6
2,33,240,1
2,33,250,4
2,33,255,2
2,33,264,4
2,33,274,3
2,33,279,1
2,33,288,3
2,33,296,5
2,33,304,8
2,33,309,6
2,33,316,2
2,33,330,1
2,34,9,9
2,34,20,8
2,34,27,6
2,34,35,9
2,34,39,9
2,34,46,4
2,34,57,3
2,34,71,2
2,34,75,7
2,34,82,5
2,34,90,8
2,34,95,6
2,34,99,3
2,34,107,4
2,34,121,4
2,34,125,4
2,34,135,1
2,34,149,5
2,34,154,5
2,34,168,8
2,35,6,1
2,35,18,1
2,35,28,6
2,35,38,9
2,35,49,8
2,35,63,6
2,35,71,6
2,35,83,4
2,35,89,4
2,35,101,3
2,35,107,3
2,35,116,4
2,35,128,4
2,36,4,6
2,36,12,9
2,36,19,1
2,36,25,1
