chapter-counter,verse-counter,word-counter,arabic-word-weight
1,0,6,102
1,0,14,168
1,0,28,497
1,1,9,869
1,1,17,934
1,1,23,1136
1,2,13,1697
1,3,7,2077
1,3,14,2133
1,4,8,2260
1,4,17,2386
1,4,28,2424
1,5,8,3125
1,5,19,3456
1,6,7,4437
1,6,17,5228
1,6,28,5789
1,6,39,5944
1,6,46,7154
1,6,59,9033
1,6,70,9188
1,6,76,9225
2,7,6,10249
2,7,14,10315
2,7,28,10644
2,8,0,10933
2,9,7,11754
2,9,18,12208
2,9,22,12239
2,9,29,12451
2,9,37,12546
2,9,45,12565
2,9,61,13225
2,10,9,14016
2,10,21,14172
2,10,33,15217
2,10,46,15439
2,10,57,15991
2,10,66,16078
2,10,80,16481
2,10,91,16777
2,11,11,17574
2,11,23,17730
2,11,29,17773
2,11,37,17861
2,11,46,17922
2,11,52,17969
2,11,60,18057
2,11,64,18147
2,11,73,18299
2,11,88,19538
2,11,93,19583
2,11,104,19805
2,12,11,19872
2,12,18,19982
2,12,24,20001
2,12,29,20091
2,12,40,20338
2,12,56,20411
2,12,61,20456
2,12,76,20701
2,13,5,20752
2,13,15,21543
2,13,24,21850
2,13,32,21918
2,13,43,22073
2,13,59,23470
2,13,64,23511
2,13,69,23581
2,13,81,24976
2,13,85,25007
2,13,97,25163
2,14,6,26203
2,14,14,26269
2,14,21,26379
2,14,33,26562
2,14,42,26678
2,14,53,26893
2,14,64,27009
2,14,78,27348
2,14,88,29055
2,14,99,29136
2,14,107,29909
2,14,115,30929
2,15,6,31025
2,15,15,31167
2,15,19,31257
2,15,27,31403
2,15,35,31494
2,15,45,31562
2,15,59,31657
2,15,68,32488
2,15,74,32535
2,15,78,32580
2,15,92,32772
2,16,12,33513
2,16,20,33579
2,16,32,34376
2,16,40,34473
2,16,46,34520
2,16,58,35260
2,16,65,35292
2,16,77,35528
2,16,83,35575
2,16,95,36211
2,17,3,36301
2,17,14,36484
2,17,22,37524
2,17,34,37661
2,17,42,37727
2,17,50,38768
2,17,61,38849
2,17,69,39622
2,17,77,39703
2,17,83,39746
2,17,91,39824
2,17,103,40612
2,18,7,41320
2,18,13,41460
2,18,20,41535
2,18,24,41566
2,18,35,42117
2,18,39,42207
2,18,49,43239
2,18,57,43377
2,18,66,43469
2,18,73,43577
2,18,85,43801
2,19,5,43833
2,19,15,43929
2,19,20,43974
2,19,35,44245
2,19,45,44351
2,19,50,44382
2,19,62,45018
2,20,7,45726
2,20,13,45866
2,20,20,45941
2,20,28,46038
2,20,34,46099
2,20,40,46189
2,20,49,46331
2,20,57,46469
2,20,68,46610
2,20,74,46671
2,20,80,46761
2,20,93,46939
2,20,101,46971
2,20,111,47067
2,20,116,47112
2,20,129,47290
2,20,139,47396
2,20,144,47427
2,20,156,47633
2,21,7,48341
2,21,14,48478
2,21,24,49269
2,21,32,49366
2,21,40,49504
2,21,48,49595
2,21,56,50303
2,21,64,50940
2,21,71,50981
2,21,86,51406
2,21,94,51544
2,21,101,51596
2,21,110,51766
2,21,119,51858
2,21,126,51966
2,21,142,52544
2,22,7,52610
2,22,20,53102
2,22,27,53149
2,22,41,53254
2,22,45,53344
2,22,59,54459
2,22,71,54640
2,23,11,54707
2,23,21,55498
2,23,32,56406
2,23,45,57698
2,23,57,57750
2,23,63,57871
2,23,71,58481
2,23,86,59530
2,23,92,59577
2,23,100,59655
2,23,112,60164
2,24,10,60779
2,24,19,61369
2,24,27,62110
2,24,39,62681
2,24,46,62933
2,24,55,63084
2,24,65,64287
2,24,69,64328
2,24,78,64377
2,24,85,65084
2,24,93,65150
2,24,105,65453
2,24,118,66124
2,24,122,66214
2,24,132,67585
2,24,137,67616
2,24,149,67974
2,25,5,68104
2,25,12,68166
2,25,19,68286
2,25,26,68411
2,25,30,68442
2,25,42,68781
2,26,4,68788
2,26,14,68910
2,26,20,69000
2,26,31,69133
2,26,37,69228
2,26,47,70599
2,26,56,70879
2,26,65,71187
2,26,77,71356
2,26,91,71565
2,26,95,71655
2,26,105,72451
2,26,111,72541
2,26,124,72839
2,26,131,73747
2,26,141,74224
2,26,153,74296
2,26,161,74363
2,26,177,74757
2,27,7,74792
2,27,17,75125
2,27,26,75824
2,27,40,76163
2,27,51,76254
2,27,59,77057
2,27,65,77132
