chapter-counter,verse-counter,arabic-verse-weight
1,0,786
1,1,582
1,2,618
1,3,242
1,4,836
1,5,1073
1,6,6010
2,0,786
2,1,71
2,2,2221
2,3,3552
2,4,3028
2,5,896
2,6,4462
2,7,5766
2,8,1843
2,9,3439
2,10,4401
2,11,3189
2,12,1217
2,13,2615
2,14,4911
2,15,2096
2,16,5524
2,17,7810
2,18,807
2,19,5976
2,20,7410
2,21,4272
2,22,7491
2,23,4637
2,24,4581
2,25,11556
2,26,13070
2,27,5965
2,28,5072
2,29,5422
2,30,6938
2,31,3975
2,32,2007
2,33,6199
2,34,3148
2,35,8070
2,36,6638
2,37,2846
2,38,3024
2,39,3586
2,40,3846
2,41,5169
2,42,2855
2,43,2384
2,44,4503
2,45,3416
2,46,2805
2,47,4834
2,48,5004
2,49,6415
2,50,5593
2,51,6268
2,52,3009
2,53,3261
2,54,10176
2,55,7662
2,56,3061
2,57,6436
2,58,9492
2,59,7145
2,60,10695
2,61,22043
2,62,5655
2,63,8262
2,64,5876
2,65,4580
2,66,3350
2,67,7066
2,68,5132
2,69,4511
2,70,2990
2,71,8684
2,72,5073
2,73,5064
2,74,11231
2,75,3577
2,76,8329
2,77,1141
2,78,2223
2,79,6934
2,80,6714
2,81,3523
2,82,3093
2,83,11250
2,84,8178
2,85,19773
2,86,5883
2,87,9272
2,88,2531
2,89,5929
2,90,9857
2,91,5402
2,92,5327
2,93,9560
2,94,5682
2,95,2548
2,96,6001
2,97,3146
2,98,2176
2,99,1939
2,100,2532
2,101,6260
2,102,19303
2,103,3137
2,104,4628
2,105,8996
2,106,4929
2,107,3306
2,108,4338
2,109,6207
2,110,5033
2,111,4193
2,112,2268
2,113,9922
2,114,9576
2,115,3750
2,116,4545
2,117,4112
2,118,7736
2,119,2877
2,120,7144
2,121,4985
2,122,4834
2,123,4204
2,124,6206
2,125,7191
2,126,9555
2,127,4079
2,128,5512
2,129,4445
2,130,4914
2,131,2331
2,132,2967
2,133,6394
2,134,4222
2,135,3316
2,136,4394
2,137,4087
2,138,3703
2,139,2887
2,140,7548
2,141,4222
2,142,5638
2,143,11363
2,144,10264
2,145,11969
2,146,4284
2,147,1949
2,148,4645
2,149,5369
2,150,12243
2,151,4772
2,152,3415
2,153,3008
2,154,3162
2,155,4213
2,156,3263
2,157,2394
2,158,5767
2,159,3965
2,160,2948
2,161,3653
2,162,3859
2,163,885
2,164,13472
2,165,9630
2,166,6083
2,167,7268
2,168,4183
2,169,2374
2,170,3965
2,171,4393
2,172,3653
2,173,9783
2,174,6539
2,175,6524
2,176,4768
2,177,15191
2,178,12297
2,179,2188
2,180,6711
2,181,2676
2,182,4504
2,183,4492
2,184,10924
2,185,13259
2,186,4460
2,187,20206
2,188,4282
2,189,7796
2,190,3941
2,191,11784
2,192,2335
2,193,4735
2,194,6963
2,195,2608
2,196,23777
2,197,8357
2,198,11423
2,199,6551
2,200,9396
2,201,4842
2,202,978
2,203,7863
2,204,2793
2,205,3982
2,206,4680
2,207,4424
2,208,4971
2,209,2321
2,210,6908
2,211,4096
2,212,7898
2,213,15685
2,214,10279
2,215,6394
2,216,6441
2,217,14758
2,218,4902
2,219,8448
2,220,7345
2,221,15013
2,222,9624
2,223,5230
2,224,4995
2,225,6435
2,226,5004
2,227,879
2,228,12027
2,229,12909
2,230,6801
2,231,17326
2,232,12692
2,233,22079
2,234,10191
2,235,14624
2,236,8585
2,237,12683
2,238,3173
2,239,5685
2,240,8486
2,241,2436
2,242,2260
2,243,9227
2,244,1403
2,245,8944
2,246,13007
2,247,6837
2,248,8084
2,249,18529
2,250,5145
2,251,9609
2,252,2308
2,253,15536
2,254,6063
2,255,14080
2,256,7630
2,257,10339
2,258,12835
2,259,22338
2,260,9597
2,261,7533
2,262,5481
2,263,6171
2,264,10412
2,265,11562
2,266,12791
2,267,12512
2,268,5003
2,269,5588
2,270,5797
2,271,7367
2,272,8818
2,273,9919
2,274,4300
2,275,11388
2,276,2337
2,277,5018
2,278,3631
2,279,6695
2,280,6660
2,281,4419
2,282,40411
2,283,12205
2,284,7917
2,285,6033
2,286,13244
3,0,786
3,1,71
3,2,412
3,3,2472
3,4,5226
3,5,2656
3,6,2255
3,7,16737
3,8,4630
3,9,2028
3,10,4094
3,11,5611
3,12,4073
3,13,9592
3,14,9152
3,15,9075
3,16,4902
3,17,3871
3,18,1997
3,19,6420
3,20,7382
3,21,7379
3,22,3500
3,23,6237
3,24,4824
3,25,3908
3,26,8593
3,27,8286
3,28,8298
3,29,5256
3,30,6462
3,31,5810
3,32,1840
3,33,1456
3,34,3552
3,35,6175
3,36,11117
3,37,8504
3,38,3289
3,39,4095
3,40,5585
3,41,6505
3,42,3290
3,43,1997
3,44,6787
3,45,6026
3,46,796
3,47,6271
3,48,2295
3,49,12711
3,50,5771
3,51,2421
3,52,3230
3,53,2797
3,54,1839
3,55,10452
3,56,5247
3,57,3321
3,58,2969
3,59,3965
3,60,1893
3,61,5511
3,62,1917
3,63,1198
3,64,8530
3,65,4063
3,66,3789
3,67,2202
3,68,3843
3,69,4376
3,70,3068
3,71,3487
3,72,5477
3,73,6421
3,74,4927
3,75,6580
3,76,1680
3,77,8328
3,78,5645
3,79,6908
3,80,5543
3,81,13548
3,82,1962
3,83,5127
3,84,4061
3,85,5723
3,86,3611
3,87,1805
3,88,3859
3,89,4032
3,90,4738
3,91,6369
3,92,3842
3,93,6448
3,94,3956
3,95,2687
3,96,3291
3,97,5868
3,98,3074
3,99,6004
3,100,4482
3,101,5281
3,102,4192
3,103,12609
3,104,3812
3,105,5934
3,106,7218
3,107,3833
3,108,3259
3,109,2974
3,110,8921
3,111,3891
3,112,13529
3,113,3057
3,114,4596
3,115,2480
3,116,4867
3,117,9055
3,118,11360
3,119,12248
3,120,6699
3,121,4110
3,122,3848
3,123,4262
3,124,4528
3,125,5736
3,126,2569
3,127,3133
3,128,3440
3,129,6438
3,130,5327
3,131,2133
3,132,1396
3,133,6704
3,134,6359
3,135,10600
3,136,5838
3,137,5900
3,138,3047
3,139,2444
3,140,7275
3,141,1694
3,142,3921
3,143,5436
3,144,7142
3,145,7399
3,146,4606
3,147,5907
3,148,3402
3,149,4775
3,150,1494
3,151,4961
3,152,13899
3,153,9145
3,154,22171
3,155,6280
3,156,12211
3,157,5441
3,158,2654
3,159,12073
3,160,6386
3,161,7506
3,162,3314
3,163,1466
3,164,6367
3,165,5242
3,166,2299
3,167,7728
3,168,4688
3,169,3389
3,170,5938
3,171,4131
3,172,5167
3,173,3512
3,174,6573
3,175,4770
3,176,7935
3,177,4635
3,178,4499
3,179,10203
3,180,10219
3,181,7954
3,182,2764
3,183,8321
3,184,3862
3,185,8048
3,186,9582
3,187,11109
3,188,5694
3,189,2595
3,190,4545
3,191,9173
3,192,4507
3,193,6053
3,194,4803
3,195,15754
3,196,3099
3,197,1571
3,198,6650
3,199,6037
3,200,3091
4,0,786
4,1,8586
4,2,4279
4,3,9178
4,4,3171
4,5,3369
4,6,11924
4,7,5529
4,8,4741
4,9,7448
4,10,3756
4,11,17888
4,12,21262
