chapter-counter,verse-counter,arabic-verse-weight
1,0,3
1,1,6
1,2,6
1,3,8
1,4,8
1,5,2
1,6,7
2,0,3
2,1,8
2,2,7
2,3,6
2,4,4
2,5,5
2,6,7
2,7,6
2,8,7
2,9,1
2,10,9
2,11,3
2,12,2
2,13,5
2,14,6
2,15,8
2,16,7
2,17,7
2,18,6
2,19,9
2,20,3
2,21,6
2,22,3
2,23,2
2,24,9
2,25,9
2,26,2
2,27,7
2,28,5
2,29,4
2,30,8
2,31,6
2,32,9
2,33,7
2,34,7
2,35,6
2,36,5
2,37,2
2,38,9
2,39,4
2,40,3
2,41,3
2,42,2
2,43,8
2,44,3
2,45,5
2,46,6
2,47,1
2,48,9
2,49,7
2,50,4
2,51,4
2,52,3
2,53,3
2,54,6
2,55,3
2,56,1
2,57,1
2,58,6
2,59,8
2,60,3
2,61,2
2,62,3
2,63,9
2,64,8
2,65,8
2,66,2
2,67,1
2,68,2
2,69,2
2,70,2
2,71,8
2,72,6
2,73,6
2,74,8
2,75,4
2,76,4
2,77,7
2,78,9
2,79,4
2,80,9
2,81,4
2,82,6
2,83,9
2,84,6
2,85,9
2,86,6
2,87,2
2,88,2
2,89,7
2,90,2
2,91,2
2,92,8
2,93,2
2,94,3
2,95,1
2,96,7
2,97,5
2,98,7
2,99,4
2,100,3
2,101,5
2,102,7
2,103,5
2,104,2
2,105,5
2,106,6
2,107,3
2,108,9
2,109,6
2,110,2
2,111,8
2,112,9
2,113,4
2,114,9
2,115,6
2,116,9
2,117,8
2,118,5
2,119,6
2,120,7
2,121,8
2,122,1
2,123,1
2,124,5
2,125,9
2,126,6
2,127,2
2,128,4
2,129,8
2,130,9
2,131,9
2,132,6
2,133,4
2,134,1
2,135,4
2,136,2
2,137,1
2,138,4
2,139,7
2,140,6
2,141,1
2,142,4
2,143,5
2,144,4
2,145,8
2,146,9
2,147,5
2,148,1
2,149,5
2,150,3
2,151,2
2,152,4
2,153,2
2,154,3
2,155,1
2,156,5
2,157,9
2,158,7
2,159,5
2,160,5
2,161,8
2,162,7
2,163,3
2,164,8
2,165,9
2,166,8
2,167,5
2,168,7
2,169,7
2,170,5
2,171,1
2,172,8
2,173,9
2,174,5
2,175,8
2,176,7
2,177,8
2,178,3
2,179,1
2,180,6
2,181,3
2,182,4
2,183,1
2,184,7
2,185,2
2,186,5
2,187,1
2,188,7
2,189,2
2,190,8
2,191,3
2,192,4
2,193,1
2,194,6
2,195,7
2,196,8
2,197,5
2,198,2
2,199,8
2,200,9
2,201,9
2,202,6
2,203,6
2,204,3
2,205,4
2,206,9
2,207,5
2,208,3
2,209,8
2,210,5
2,211,1
2,212,5
2,213,7
2,214,1
2,215,4
2,216,6
2,217,7
2,218,6
2,219,6
2,220,1
2,221,1
2,222,3
2,223,1
2,224,9
2,225,9
2,226,9
2,227,6
2,228,3
2,229,3
2,230,6
2,231,1
2,232,2
2,233,2
2,234,3
2,235,8
2,236,8
2,237,2
2,238,5
2,239,6
2,240,8
2,241,6
2,242,1
2,243,2
2,244,8
2,245,7
2,246,2
2,247,6
2,248,2
2,249,7
2,250,6
2,251,6
2,252,4
2,253,2
2,254,6
2,255,4
2,256,7
2,257,7
2,258,1
2,259,9
2,260,3
2,261,9
2,262,9
2,263,6
2,264,8
2,265,6
2,266,2
2,267,2
2,268,8
2,269,8
2,270,1
2,271,5
2,272,7
2,273,1
2,274,7
2,275,3
2,276,6
2,277,5
2,278,4
2,279,8
2,280,9
