chapter-counter,arabic-chapter-weight
1,4
2,4
3,6
4,8
5,2
6,8
7,1
8,3
9,3
10,3
11,1
12,8
13,1
14,5
15,9
16,4
17,8
18,4
19,2
20,2
21,9
22,8
23,4
24,7
25,5
26,7
27,7
28,1
29,5
30,6
31,1
32,6
33,7
34,5
35,1
36,7
37,9
38,9
39,6
40,3
41,2
42,3
43,8
44,7
45,5
46,9
47,3
48,6
49,2
50,8
51,5
52,8
53,6
54,9
55,5
56,7
57,2
58,9
59,2
60,1
61,7
62,5
63,1
64,6
65,4
66,6
67,3
68,2
69,2
70,4
71,5
72,1
73,9
74,5
75,6
76,8
77,9
78,6
79,7
80,2
81,9
82,4
83,7
84,1
85,9
86,3
87,5
88,2
89,4
90,6
91,8
92,5
93,3
94,8
95,1
96,5
97,1
98,6
99,5
100,9
101,8
102,3
103,1
104,7
105,1
106,9
107,4
108,4
109,1
110,7
111,6
112,6
113,4
114,7
