chapter-counter,verse-counter,word-counter,arabic-word-weight
1,0,6,3
1,0,14,3
1,0,28,5
1,1,9,3
1,1,17,2
1,1,23,4
1,2,13,3
1,3,7,2
1,3,14,2
1,4,8,1
1,4,17,9
1,4,28,2
1,5,8,8
1,5,19,7
1,6,7,9
1,6,17,8
1,6,28,3
1,6,39,2
1,6,46,4
1,6,59,7
1,6,70,2
1,6,76,1
2,7,6,7
2,7,14,3
2,7,28,5
2,8,0,1
2,9,7,2
2,9,18,4
2,9,22,4
2,9,29,5
2,9,37,5
2,9,45,1
2,9,61,3
2,10,9,8
2,10,21,3
2,10,33,1
2,10,46,6
2,10,57,3
2,10,66,6
2,10,80,7
2,10,91,8
2,11,11,5
2,11,23,3
2,11,29,7
2,11,37,7
2,11,46,7
2,11,52,2
2,11,60,7
2,11,64,9
2,11,73,8
2,11,88,6
2,11,93,9
2,11,104,6
2,12,11,4
2,12,18,2
2,12,24,1
2,12,29,9
2,12,40,4
2,12,56,1
2,12,61,9
2,12,76,2
2,13,5,6
2,13,15,8
2,13,24,1
2,13,32,5
2,13,43,2
2,13,59,2
2,13,64,5
2,13,69,7
2,13,81,9
2,13,85,4
2,13,97,3
2,14,6,5
2,14,14,3
2,14,21,2
2,14,33,3
2,14,42,8
2,14,53,8
2,14,64,8
2,14,78,6
2,14,88,6
2,14,99,9
2,14,107,8
2,14,115,3
2,15,6,6
2,15,15,7
2,15,19,9
2,15,27,2
2,15,35,1
2,15,45,5
2,15,59,5
2,15,68,3
2,15,74,2
2,15,78,9
2,15,92,3
2,16,12,3
2,16,20,3
2,16,32,5
2,16,40,7
2,16,46,2
2,16,58,2
2,16,65,5
2,16,77,2
2,16,83,2
2,16,95,6
2,17,3,9
2,17,14,3
2,17,22,5
2,17,34,2
2,17,42,3
2,17,50,6
2,17,61,9
2,17,69,8
2,17,77,9
2,17,83,7
2,17,91,6
2,17,103,5
2,18,7,6
2,18,13,5
2,18,20,3
2,18,24,4
2,18,35,2
2,18,39,9
2,18,49,6
2,18,57,3
2,18,66,2
2,18,73,9
