chapter-counter,verse-counter,arabic-verse-weight
1,0,3
1,1,6
1,2,9
1,3,6
1,4,6
1,5,3
1,6,9
2,0,3
2,1,3
2,2,6
2,3,9
2,4,6
2,5,6
2,6,3
2,7,9
2,8,3
2,9,3
2,10,6
2,11,9
2,12,6
2,13,6
2,14,3
2,15,9
2,16,3
2,17,3
2,18,6
2,19,9
2,20,6
2,21,6
2,22,3
2,23,9
2,24,3
2,25,3
2,26,6
2,27,9
2,28,6
2,29,6
2,30,3
2,31,9
2,32,3
2,33,3
2,34,6
2,35,9
2,36,6
2,37,6
2,38,3
2,39,9
2,40,3
2,41,3
2,42,6
2,43,9
2,44,6
2,45,6
2,46,3
2,47,9
2,48,3
2,49,3
2,50,6
2,51,9
2,52,6
2,53,6
2,54,3
2,55,9
2,56,3
2,57,3
2,58,6
2,59,9
2,60,6
2,61,6
2,62,3
2,63,9
2,64,3
2,65,3
2,66,6
2,67,9
2,68,6
2,69,6
2,70,3
2,71,9
2,72,3
2,73,3
2,74,6
2,75,9
2,76,6
2,77,6
2,78,3
2,79,9
2,80,3
2,81,3
2,82,6
2,83,9
2,84,6
2,85,6
2,86,3
2,87,9
2,88,3
2,89,3
2,90,6
2,91,9
2,92,6
2,93,6
2,94,3
2,95,9
2,96,3
2,97,3
2,98,6
2,99,9
2,100,6
2,101,6
2,102,3
2,103,9
2,104,3
2,105,3
2,106,6
2,107,9
2,108,6
2,109,6
2,110,3
2,111,9
2,112,3
2,113,3
2,114,6
2,115,9
2,116,6
2,117,6
2,118,3
2,119,9
2,120,3
2,121,3
2,122,6
2,123,9
2,124,6
2,125,6
2,126,3
2,127,9
2,128,3
2,129,3
2,130,6
2,131,9
2,132,6
2,133,6
2,134,3
2,135,9
2,136,3
2,137,3
2,138,6
2,139,9
2,140,6
2,141,6
2,142,3
2,143,9
2,144,3
2,145,3
2,146,6
2,147,9
2,148,6
2,149,6
2,150,3
2,151,9
2,152,3
2,153,3
2,154,6
2,155,9
2,156,6
2,157,6
2,158,3
2,159,9
2,160,3
2,161,3
2,162,6
2,163,9
2,164,6
2,165,6
2,166,3
2,167,9
2,168,3
2,169,3
2,170,6
2,171,9
2,172,6
2,173,6
2,174,3
2,175,9
2,176,3
2,177,3
2,178,6
2,179,9
2,180,6
2,181,6
2,182,3
2,183,9
2,184,3
2,185,3
2,186,6
2,187,9
2,188,6
2,189,6
2,190,3
2,191,9
2,192,3
2,193,3
2,194,6
2,195,9
2,196,6
2,197,6
2,198,3
2,199,9
2,200,3
2,201,3
2,202,6
2,203,9
2,204,6
2,205,6
2,206,3
2,207,9
2,208,3
2,209,3
2,210,6
2,211,9
2,212,6
2,213,6
2,214,3
2,215,9
2,216,3
2,217,3
2,218,6
2,219,9
2,220,6
2,221,6
2,222,3
2,223,9
2,224,3
2,225,3
2,226,6
2,227,9
2,228,6
2,229,6
2,230,3
2,231,9
2,232,3
2,233,3
2,234,6
2,235,9
2,236,6
2,237,6
2,238,3
2,239,9
2,240,3
2,241,3
2,242,6
2,243,9
2,244,6
2,245,6
2,246,3
2,247,9
2,248,3
2,249,3
2,250,6
2,251,9
2,252,6
2,253,6
2,254,3
2,255,9
2,256,3
2,257,3
2,258,6
2,259,9
2,260,6
2,261,6
2,262,3
2,263,9
2,264,3
2,265,3
2,266,6
2,267,9
2,268,6
2,269,6
2,270,3
2,271,9
2,272,3
2,273,3
2,274,6
2,275,9
2,276,6
2,277,6
2,278,3
2,279,9
2,280,3
