chapter-counter,arabic-chapter-weight
1,4
2,4
3,8
4,3
5,2
6,5
7,7
8,3
9,1
10,4
11,5
12,9
13,5
14,5
15,1
16,6
17,7
18,4
19,2
20,6
21,8
22,5
23,4
24,9
25,4
26,4
27,8
28,3
29,2
30,5
31,7
32,3
33,1
34,4
35,5
36,9
37,5
38,5
39,1
40,6
41,7
42,4
43,2
44,6
45,8
46,5
47,4
48,9
49,4
50,4
51,8
52,3
53,2
54,5
55,7
56,3
57,1
58,4
59,5
60,9
61,5
62,5
63,1
64,6
65,7
66,4
67,2
68,6
69,8
70,5
71,4
72,9
73,4
74,4
75,8
76,3
77,2
78,5
79,7
80,3
81,1
82,4
83,5
84,9
85,5
86,5
87,1
88,6
89,7
90,4
91,2
92,6
93,8
94,5
95,4
96,9
97,4
98,4
99,8
100,3
101,2
102,5
103,7
104,3
105,1
106,4
107,5
108,9
109,5
110,5
111,1
112,6
113,7
114,4
