chapter-counter,verse-counter,word-counter,arabic-word-weight
1,0,6,3
1,0,14,3
1,0,28,6
1,1,9,9
1,1,17,6
1,1,23,6
1,2,13,3
1,3,7,9
1,3,14,3
1,4,8,3
1,4,17,6
1,4,28,9
1,5,8,6
1,5,19,6
1,6,7,3
1,6,17,9
1,6,28,3
1,6,39,3
1,6,46,6
1,6,59,9
1,6,70,6
1,6,76,6
2,7,6,3
2,7,14,9
2,7,28,3
2,8,0,3
2,9,7,6
2,9,18,9
2,9,22,6
2,9,29,6
2,9,37,3
2,9,45,9
2,9,61,3
2,10,9,3
2,10,21,6
2,10,33,9
2,10,46,6
2,10,57,6
2,10,66,3
2,10,80,9
2,10,91,3
2,11,11,3
2,11,23,6
2,11,29,9
2,11,37,6
2,11,46,6
2,11,52,3
2,11,60,9
2,11,64,3
2,11,73,3
2,11,88,6
2,11,93,9
2,11,104,6
2,12,11,6
2,12,18,3
2,12,24,9
2,12,29,3
2,12,40,3
2,12,56,6
2,12,61,9
2,12,76,6
2,13,5,6
2,13,15,3
2,13,24,9
2,13,32,3
2,13,43,3
2,13,59,6
2,13,64,9
2,13,69,6
2,13,81,6
2,13,85,3
2,13,97,9
2,14,6,3
2,14,14,3
2,14,21,6
2,14,33,9
2,14,42,6
2,14,53,6
2,14,64,3
2,14,78,9
2,14,88,3
2,14,99,3
2,14,107,6
2,14,115,9
2,15,6,6
2,15,15,6
2,15,19,3
2,15,27,9
2,15,35,3
2,15,45,3
2,15,59,6
2,15,68,9
2,15,74,6
2,15,78,6
2,15,92,3
2,16,12,9
2,16,20,3
2,16,32,3
2,16,40,6
2,16,46,9
2,16,58,6
2,16,65,6
2,16,77,3
2,16,83,9
2,16,95,3
2,17,3,3
2,17,14,6
2,17,22,9
2,17,34,6
2,17,42,6
2,17,50,3
2,17,61,9
2,17,69,3
2,17,77,3
2,17,83,6
2,17,91,9
2,17,103,6
2,18,7,6
2,18,13,3
2,18,20,9
2,18,24,3
2,18,35,3
2,18,39,6
2,18,49,9
2,18,57,6
2,18,66,6
2,18,73,3
